Fips,County,State,Confirmed
60,,American Samoa,0
66,,Guam,319
69,,Northern Mariana Islands,38
72001,Adjuntas,Puerto Rico,72
72003,Aguada,Puerto Rico,71
72005,Aguadilla,Puerto Rico,112
72007,Aguas Buenas,Puerto Rico,81
72009,Aibonito,Puerto Rico,60
72011,Anasco,Puerto Rico,89
72013,Arecibo,Puerto Rico,186
72015,Arroyo,Puerto Rico,65
72017,Barceloneta,Puerto Rico,38
72019,Barranquitas,Puerto Rico,131
72021,Bayamon,Puerto Rico,758
72023,Cabo Rojo,Puerto Rico,135
72025,Caguas,Puerto Rico,415
72027,Camuy,Puerto Rico,69
72029,Canovanas,Puerto Rico,219
72031,Carolina,Puerto Rico,614
72033,Catano,Puerto Rico,96
72035,Cayey,Puerto Rico,136
72037,Ceiba,Puerto Rico,40
72039,Ciales,Puerto Rico,81
72041,Cidra,Puerto Rico,100
72043,Coamo,Puerto Rico,67
72045,Comerio,Puerto Rico,84
72047,Corozal,Puerto Rico,84
72049,Culebra,Puerto Rico,11
72051,Dorado,Puerto Rico,181
72053,Fajardo,Puerto Rico,128
72054,Florida,Puerto Rico,64
72055,Guanica,Puerto Rico,50
72057,Guayama,Puerto Rico,101
72059,Guayanilla,Puerto Rico,91
72061,Guaynabo,Puerto Rico,542
72063,Gurabo,Puerto Rico,152
72065,Hatillo,Puerto Rico,62
72067,Hormigueros,Puerto Rico,63
72069,Humacao,Puerto Rico,121
72071,Isabela,Puerto Rico,80
72073,Jayuya,Puerto Rico,168
72075,Juana Diaz,Puerto Rico,133
72077,Juncos,Puerto Rico,71
72079,Lajas,Puerto Rico,60
72081,Lares,Puerto Rico,102
72083,Las Marias,Puerto Rico,34
72085,Las Piedras,Puerto Rico,106
72087,Loiza,Puerto Rico,64
72089,Luquillo,Puerto Rico,72
72091,Manati,Puerto Rico,84
72093,Maricao,Puerto Rico,36
72095,Maunabo,Puerto Rico,36
72097,Mayaguez,Puerto Rico,318
72099,Moca,Puerto Rico,94
72101,Morovis,Puerto Rico,120
72103,Naguabo,Puerto Rico,61
72105,Naranjito,Puerto Rico,116
72107,Orocovis,Puerto Rico,116
72109,Patillas,Puerto Rico,70
72111,Penuelas,Puerto Rico,45
72113,Ponce,Puerto Rico,315
72115,Quebradillas,Puerto Rico,52
72117,Rincon,Puerto Rico,60
72119,Rio Grande,Puerto Rico,168
72121,Sabana Grande,Puerto Rico,92
72123,Salinas,Puerto Rico,123
72125,San German,Puerto Rico,111
72127,San Juan,Puerto Rico,1625
72129,San Lorenzo,Puerto Rico,93
72131,San Sebastian,Puerto Rico,135
